# run subrun event
20082 19 965
21027 17 859
21027 17 874
20082 19 962
20082 10 536
20662 70 3524
20082 14 734
20082 19 990
21027 17 859
20082 43 2169
20082 19 965
20082 20 1036
20082 10 540
21027 17 870
20082 14 742
20082 31 1565
20082 20 1042
21027 43 2185
20082 20 1017
20082 43 2168
20082 10 513
21027 43 2191
20662 70 3524
20082 20 1043
20662 70 3532
20082 14 742
20082 10 536
20082 14 734
20082 10 521
20082 34 1737
21027 43 2166
20082 43 2168
20082 10 536
20082 14 729
20082 34 1728
20082 43 2172
20082 14 734
20082 10 521
20082 19 967
20082 43 2169
20082 14 725
20082 34 1703
21027 43 2195
20082 43 2172
20082 20 1042
19842 11 571
20082 10 513
20082 31 1569
20082 20 1036
21027 17 890
