# run subrun event
20082 19 977
21027 17 882
20082 19 962
21027 17 870
20082 10 505
20082 10 547
20082 14 734
21027 43 2177
20082 43 2182
20082 20 1031
20662 70 3524
21027 43 2174
21027 43 2166
20082 14 737
20082 34 1707
19842 11 573
20082 14 735
20082 19 990
20662 70 3527
19842 11 566
19842 11 557
20082 10 521
21027 43 2185
20082 34 1703
20662 70 3532
20082 19 965
20082 31 1580
21027 43 2176
20082 31 1565
20082 31 1573
20082 10 527
20662 70 3504
20082 34 1744
20082 14 725
20662 236 11820
21027 43 2191
20082 20 1029
20082 14 717
21027 17 859
20082 10 536
20082 43 2175
20082 10 540
20082 43 2169
20662 70 3528
20082 20 1024
20662 70 3520
19842 11 561
20082 34 1728
20082 19 1000
20662 70 3525
